Exercise start,Exercise end,Code,Lecturer,Week,Concepts
2016-02-15 14:00:00 +0100,2016-02-15 15:40:00 +0100,10001,3,1,prednaska
2016-02-22 14:00:00 +0100,2016-02-15 15:40:00 +0100,10002,3,2,prednaska
2016-02-29 14:00:00 +0100,2016-02-15 15:40:00 +0100,10003,3,3,prednaska
2016-03-07 14:00:00 +0100,2016-02-15 15:40:00 +0100,10004,3,4,prednaska
2016-03-14 14:00:00 +0100,2016-02-15 15:40:00 +0100,10005,3,5,prednaska
2016-03-21 14:00:00 +0100,2016-02-15 15:40:00 +0100,10006,3,6,prednaska
2016-03-28 14:00:00 +0200,2016-02-15 15:40:00 +0100,10007,3,7,prednaska
2016-04-04 14:00:00 +0200,2016-02-15 15:40:00 +0100,10008,3,8,prednaska
2016-04-11 14:00:00 +0200,2016-02-15 15:40:00 +0100,10009,3,9,prednaska
2016-04-18 14:00:00 +0200,2016-02-15 15:40:00 +0100,10010,3,10,prednaska
2016-04-25 14:00:00 +0200,2016-02-15 15:40:00 +0100,10011,3,11,prednaska
2016-05-02 14:00:00 +0200,2016-02-15 15:40:00 +0100,10012,3,12,prednaska
2016-02-15 16:00:00 +0100,2016-02-15 17:40:00 +0100,10013,3,1,cvicenie
2016-02-22 16:00:00 +0100,2016-02-15 17:40:00 +0100,10014,3,2,cvicenie
2016-02-29 16:00:00 +0100,2016-02-15 17:40:00 +0100,10015,3,3,cvicenie
2016-03-07 16:00:00 +0100,2016-02-15 17:40:00 +0100,10016,3,4,cvicenie
2016-03-14 16:00:00 +0100,2016-02-15 17:40:00 +0100,10017,3,5,cvicenie
2016-03-21 16:00:00 +0100,2016-02-15 17:40:00 +0100,10018,3,6,cvicenie
2016-03-28 16:00:00 +0200,2016-02-15 17:40:00 +0100,10019,3,7,cvicenie
2016-04-04 16:00:00 +0200,2016-02-15 17:40:00 +0100,10020,3,8,cvicenie
2016-04-11 16:00:00 +0200,2016-02-15 17:40:00 +0100,10021,3,9,cvicenie
2016-04-18 16:00:00 +0200,2016-02-15 17:40:00 +0100,10022,3,10,cvicenie
2016-04-25 16:00:00 +0200,2016-02-15 17:40:00 +0100,10023,3,11,cvicenie
2016-05-02 16:00:00 +0200,2016-02-15 17:40:00 +0100,10024,3,12,cvicenie
2016-02-16 08:00:00 +0100,2016-02-16 09:40:00 +0100,10025,4,1,cvicenie
2016-02-23 08:00:00 +0100,2016-02-16 09:40:00 +0100,10026,4,2,cvicenie
2016-03-01 08:00:00 +0100,2016-02-16 09:40:00 +0100,10027,4,3,cvicenie
2016-03-08 08:00:00 +0100,2016-02-16 09:40:00 +0100,10028,4,4,cvicenie
2016-03-15 08:00:00 +0100,2016-02-16 09:40:00 +0100,10029,4,5,cvicenie
2016-03-22 08:00:00 +0100,2016-02-16 09:40:00 +0100,10030,4,6,cvicenie
2016-03-29 08:00:00 +0200,2016-02-16 09:40:00 +0100,10031,4,7,cvicenie
2016-04-05 08:00:00 +0200,2016-02-16 09:40:00 +0100,10032,4,8,cvicenie
2016-04-12 08:00:00 +0200,2016-02-16 09:40:00 +0100,10033,4,9,cvicenie
