tema;id;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;odpoved_e;typ;spravne
5;bernat-05-01a;Kriticka oblast je:;casovy usek, v ktorom dva procesy pristupuju sucasne do pamate;cast programu, v ktorom sa robi pristup k zdielanemu prostriedku;cast programu, v ktorom sa robi pristup do pamate;cast programu, ktora smie byt vykonavana najviac jednym procesom;casovy usek, v ktorom dva procesy bezia sucasne;1;b d
5;bernat-05-01b;Kriticka oblast je:;cast pamate, v ktorej su ulozene zdielane premenne;cast programu, v ktorom sa robi pristup k zdielanemu prostriedku;cast programu osetrena synchronizacnym mechanizmom, napr. zamkom;casovy interval, kedy dva a viac procesov pristupuje do zdielanej pamate sucasne;casovy interval, kedy operacny system zakaze prerusenia;1;b
5;bernat-05-02a;Proces, z pohladu OS, je:;vykonatelny subor ulozeny na disku (resp. suborovom systeme);algoritmus, alebo jeho zapis, zabezpecujuci urcitu funkciu v OS;postupnost instrukcii, ktora sa vykonava bez prerusenia;beziaca (vykonavana) instancia programu;vykonavana postupnost instrukcii;1;d e
5;bernat-05-02b;Proces, z pohladu OS, je:;postupnost prikazov zapisana v programovacom jazyku;binarny vykonatelny subor;vystup kompilatora;postupnost instrukcii v pamati, ktore sa vykonavaju;zaznam v zozname procesov a dalsie potrebne prostriedky, napr. pamat s vykonavanymi instrukciami, pamat pre data (zasobnik, heap), stav procesora, tabulka otvorenych suborov, atd.;1;d e
5;bernat-05-02c;Ktore z nasledujucich tvrdeni o procese su spravne:;z jedneho programu sa moze vytvorit viacero procesov;proces je program ktory sa vykonava (bezi);proces ma v pamati instrukcie (text/kod) a data (heap, stack);proces je kod (postupnost instrukcii) pripraveny na spustenie (vykonanie);proces nemusi mat prideleny procesor v kazdom case;1;a b c e
5;bernat-05-03;Co je to instrukcia?;elementarna operacia vykonana procesorom (presun, aritmeticko-logicka operacia a pod.);operacia vykonana procesorom bez prerusenia;operacia vykonana operacnym systemom bez prerusenia;operacia napisana na prikazovy riadok, ktoru interpretuje shell;postupnost prikazov zapisana v programovacom jazyku;1;a b
5;bernat-05-04a;Co to znamena, ze instrukcie su atomicke?;vykonava ich priamo operacny system;instrukciu vykonava procesor bez prerusenia, aj ak obsahuje viacero operacii;pocas vykonania instrukcie procesor nespracovava prerusenia;prerusenie procesor spracuje len po dokonceni prave vykonavanej instrukcie;znamena to, ze su sucastou kritickej oblasti;1;b c d
5;bernat-05-04b;Ako sa nazyva vlastnost instrukcie zabezpecujuca jej vykonanie bez prerusenia? _____;;;;;;0;
5;halagan-05-01a;Ktore metody a prostriedky sa pouzivaju pre riesenie vzajomneho vylucovania?;Monitory;Semafory;Reflektory;Specialne instrukcie;Lampy;1;a b d
5;halagan-05-01b;Pre programove riesenie vzajomneho vylucovania plati:;Potrebuje podporu OS;Potrebuje podporu hardveru;Zarucuje spravodlivost pristupu;Zbytocne neplytva procesorovym casom;Ziadne z uvedenych;1;e
5;halagan-05-02;Doplnte spravne slova do tvrdenia:|Atomicka instrukcia ____ byt ____ na vsetkych typoch procesorov.;moze, prerusena;moze, uspata;nemoze, prerusena;musi, dokoncena;nemusi definovana;1;c d e
5;halagan-05-03;O programe a procese v operacnom systeme plati nasledujuce:;Proces moze odstranit program;Procesy mozu existovat ako staticke nespustene programy.;Program nepotrebuje mat pridelene prostriedky;Proces je beziaca instancia programu vratane vsetkych hodnot premennych a stavu.;Ziadne z uvedenych;1;a c d
5;lastinec05-01a;Ktore z nasledujucich terminov nie su prostriedky?;procesor;socket;proces;prerusenie;obycajny subor;1;c d
5;lastinec05-01b;Ktore z nasledujucich terminov mozeme povazovat za prostriedky?;instrukcia;disk;(zdielana) premenna;pamat;ziadne z uvedenych;1;b c d
5;lastinec05-02;Doplnte spravne slova do tvrdenia:|V kritickej oblasti ____ byt ____ jeden proces.;moze, najviac;musi, minimalne;moze, viac ako;nesmie, viac ako;musi, viac ako;1;a d
5;lastinec05-03;Ktore z nasledujucich tvrdeni o vzajomnom vylucovani su pravdive?;Je to jeden z pripadov synchronizacneho problemu.;Vykonavanie procesu na procesore vylucuje pritomnost dalsieho procesu v pamati.;Hovori, ze 2 alebo viacere procesy nemozu sucasne vykonavat instrukcie v kritickej oblasti.;Je to riadenie procesov v case tak, aby k spolocnemu prostredku pristupoval vzdy najviac jeden proces.;Zabranuje pripadu, aby sa na 1 procesore vykonavalo viacero procesov sucasne.;1;a c d
5;mato-05-01a;Do uvedeneho tvrdenia doplnte spravne slova.|1-jadrovy procesor vyuziva ______, co predstavuje ______ procesov v case.;serializmus, vykryvanie;paralelizmus, prekryvanie;pseudoparalelizmus, vykryvanie;paralelizmus, vykryvanie;pseudoparalelizmus, vykonavanie;1;c
5;mato-05-01b;Do uvedeneho tvrdenia doplnte spravne slova.|Viacjadrovy CPU vyuziva aj skutocny ______, co predstavuje ______ procesov v case.;paralelizmus, vykryvanie;serializmus, prekryvanie;pseudoparalelizmus, vykonavanie;paralelizmus, prekryvanie;serializmus, vykryvanie;1;d
5;mato-05-02;Do uvedeneho tvrdenia doplnte spravne slovo.|______ je rezidentna cast operacneho systemu, ktora sa vykonava v privilegovanom rezime procesora.;Proces;Jadro;Pouzivatelske rozhranie;Kernel;Shell;1;b d
5;mato-05-03a;V akom zakladnom stave sa proces nemoze nachadzat ?;Blokovany (blocked);Beziaci (running);Cakajuci (waiting);Pripraveny (ready);Ziadna z uvedenych moznosti;1;e
5;mato-05-03b;Kolko zakladnych stavov procesu pozname ?;1;2;3;5;Ziadna z uvedenych moznosti;1;c
5;mato-05-04;Uvedte ktore tvrdenia o vzajomnom vylucovani su pravdive:;Dva procesy nesmu pristupovat k prostriedku sucasne;Az ked jeden proces ukonci pracu s prostriedkom, moze ho pouzivat iny proces;Najcastejsi pripad pre synchronizaciu procesov;Dva alebo viacere procesy sa nesmu sucasne nachadzat v kritickej oblasti;Ziadna z uvedenych moznosti;1;a b c d
5;mato-05-05;Ktore tvrdenia/e o kritickej oblasti su pravdive ?;Je to postupnost instrukcii;Usek kodu prostriedku, v ktorom sa pracuje so zdielanym prostriedkom;Zakazana oblast jadra operacneho systemu, vyuzivajuca specialne sluzby;Usek kodu procesu, ktory pracuje so spolocnym prostriedkom;;1;a d
5;petrik-05-01;Co je to program ?;Proces;Postupnost instrukcii;Postupnost slov;Atomicka instrukcia v kritickej oblasti;Specialny typ prerusenia;1;b
5;petrik-05-02;Zdrojom prerusenia moze byt;Vazna chyba vo vykonavani programu;Vykonanie instrukcie DEC;HW chyba;Vykonanie instrukcie ACC;Zariadenie pocitaca;1;a c e
5;petrik-05-03a;Doplnte chybajuce slovo|_____ pouzitelny prostriedok sa pouzitim spotrebuje.;;;;;;0;Jednorazovo
5;petrik-05-03b;Doplnte chybajuce slovo|_____ pouzitelny prostriedok sa pouzije a potom uvolni.;;;;;;0;Opakovane
5;steinmul-05-01;Kto ?;Batman;Spiderman;Superman;Ironman;Doktor;1;
5;vilhan-05-01;Procesor je:;postupnost po sebe vykonavanych operacii;operacna pamat, v ktorej mozu byt uchovane sucasne stovky megabajtov dat;centralna vypoctova jednotka pozostavajuca z aritmeticko-logickej jednotky, registrov, vyrovnavacej pamate, pripadne obsahujuca aj graficke jadro;zariadenie pre archivaciu dat;;1;c
5;vilhan-05-02;Proces je:;centralna vypoctova jednotka pozostavajuca z aritmeticko-logickej jednotky, registrov, vyrovnavacej pamate, pripadne obsahujuca aj graficke jadro;postupnost logicky suvisiacich, po sebe vykonavanych instruckii;vykonavany program;beziaca instancia programu;;1;b c d
5;vilhan-05-03;Ktore z nasledujucich tvrdeni je pravdive:;V systeme moze sucasne existovat viacero procesov vykonavajucich ten isty program;Pre kazdy spusteny program musi v systeme existovat prave jeden proces;Pocitacovy program je postupnost instrukcii, popisujucich riesenie danej ulohy;Nevyhnutnou podmienkou spustenia programu je nacitanie vsetkych instrukcii programu do operacnej pamate PC;;1;a c
5;vilhan-05-04;Kriticka oblast je usek kodu procesu, v ktorom:;sa pracuje so spolocnym(zdielanym) prostriedkom;dochadza k neplanovanemu ukonceniu vykonavania(padu) procesu;chyba komentar;;;1;a
5;vilhan-05-05;Medzi poziadavky na riesenie vzajomneho vylucovania nepatri:;v kritickej oblasti(KO) moze byt najviac jeden proces;proces, ktory je mimo KO, nesmie branit ostatnym procesom vo vstupe do KO;rozhodnutie o vstupe do KO musi prist v konecnom case;pri rieseni vstupu do KO je nevyhnutne brat do uvahy vzajomne casovanie procesov;;1;d
5;vilhan-05-06;Metody a prostriedky pre riesenie vzajomneho vylucovania su:;Zakazanie preruseni;Vynutenie prerusenia;Specialne instrukcie;Semafory;LCD monitory;1;a c d
